Date,Day,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),Overnight,Intraday,Previous day,,No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x)
13-Nov-2025,Thursday,1512.50,1522.00,1505.60,1510.60,1136.21,Previous day close - next day open,Close - open,Today close - previous day close,,38696.00,171.89,2044215.32,43.52,24.60,84478.67,3.66,2.33,25.85,11.14,3.96,2.01
12-Nov-2025,Wednesday,1500.00,1524.00,1500.00,1511.75,854.48,,,,,33310.00,129.35,2045771.55,43.55,24.62,84466.51,3.66,2.33,25.87,11.15,3.96,2.01
11-Nov-2025,Tuesday,1496.00,1498.70,1480.25,1493.90,214.87,,,,,5470.00,31.96,2021616.09,43.04,24.33,83871.32,3.62,2.30,25.58,11.03,3.91,1.99
10-Nov-2025,Monday,1473.15,1500.00,1473.15,1489.25,408.09,,,,,15104.00,60.92,2015323.49,42.91,24.25,83535.35,3.61,2.30,25.50,11.00,3.90,1.98
07-Nov-2025,Friday,1497.65,1498.50,1476.25,1478.25,378.53,,,,,13212.00,56.36,2000437.77,42.59,24.07,83216.28,3.58,2.28,25.33,10.93,3.87,1.97
06-Nov-2025,Thursday,1483.10,1501.95,1477.55,1495.75,1178.42,,,,,27351.00,176.19,2024119.59,43.09,24.36,83311.01,3.62,2.31,25.61,11.04,3.92,1.99
04-Nov-2025,Tuesday,1484.30,1492.70,1470.30,1471.85,265.94,,,,,9660.00,39.41,1991776.98,42.40,23.97,83459.15,3.57,2.27,25.22,10.88,3.86,1.96
03-Nov-2025,Monday,1486.00,1495.00,1479.15,1484.35,548.21,,,,,15449.00,81.56,2008692.58,42.76,24.17,83978.49,3.60,2.29,25.42,10.97,3.89,1.98
31-Oct-2025,Friday,1491.00,1497.80,1482.00,1486.50,268.48,,,,,7097.00,39.92,2011602.06,42.83,24.21,83938.71,3.60,2.29,25.46,10.98,3.90,1.98
30-Oct-2025,Thursday,1500.00,1503.25,1484.00,1488.45,772.64,,,,,20787.00,115.21,2014240.89,42.88,24.24,84404.46,3.61,2.30,25.49,10.99,3.90,1.98
29-Oct-2025,Wednesday,1489.00,1508.00,1488.70,1504.05,750.04,,,,,25505.00,112.63,2035351.55,43.33,24.49,84997.13,3.64,2.32,25.74,11.10,3.94,2.00
28-Oct-2025,Tuesday,1480.15,1492.10,1478.00,1487.15,1341.63,,,,,16397.00,199.32,2012481.67,42.85,24.22,84628.16,3.60,2.29,25.47,10.99,3.90,1.98
27-Oct-2025,Monday,1461.25,1484.95,1458.70,1484.00,393.02,,,,,18389.00,58.16,2008218.94,42.75,24.16,84778.84,3.60,2.29,25.42,10.96,3.89,1.98
24-Oct-2025,Friday,1450.00,1459.95,1441.10,1451.45,331.59,,,,,13990.00,48.07,1964170.74,41.82,23.63,84211.88,3.52,2.24,24.89,10.75,3.80,1.93
23-Oct-2025,Thursday,1475.00,1482.50,1444.80,1448.05,1083.55,,,,,29444.00,158.11,1959569.70,41.72,23.58,84556.40,3.51,2.23,24.84,10.73,3.79,1.93
21-Oct-2025,Tuesday,1466.05,1473.95,1460.20,1465.15,303.85,,,,,18179.00,44.59,1982710.23,42.21,23.86,84426.34,3.55,2.26,25.11,10.84,3.84,1.95
20-Oct-2025,Monday,1440.00,1473.55,1435.00,1466.80,1742.72,,,,,58109.00,254.65,1984943.09,42.26,23.88,84363.37,3.55,2.26,25.14,10.85,3.84,1.95
17-Oct-2025,Friday,1400.00,1423.45,1399.50,1416.95,970.17,,,,,22949.00,137.30,1917483.71,40.82,23.07,83952.19,3.43,2.19,24.33,10.52,3.71,1.89
16-Oct-2025,Thursday,1374.80,1400.45,1374.80,1398.05,1163.24,,,,,38559.00,161.82,1891907.34,40.28,22.76,83467.66,3.39,2.16,24.03,10.40,3.66,1.86
15-Oct-2025,Wednesday,1380.15,1383.60,1372.70,1374.75,631.46,,,,,16461.00,86.98,1860376.68,39.61,22.39,82605.43,3.33,2.12,23.65,10.24,3.60,1.83
14-Oct-2025,Tuesday,1377.25,1387.95,1370.40,1375.65,548.00,,,,,22103.00,75.48,1861594.60,39.63,22.40,82029.98,3.33,2.12,23.66,10.25,3.61,1.83
13-Oct-2025,Monday,1376.00,1377.65,1367.85,1375.10,574.42,,,,,17938.00,78.81,1860850.31,39.62,22.39,82327.05,3.33,2.12,23.66,10.25,3.60,1.83
10-Oct-2025,Friday,1377.95,1387.75,1375.55,1381.95,498.52,,,,,15359.00,68.95,1870120.06,39.81,22.50,82500.82,3.35,2.13,23.77,10.29,3.62,1.84
09-Oct-2025,Thursday,1371.20,1380.15,1369.50,1377.95,970.82,,,,,20067.00,133.70,1864707.07,39.70,22.44,82172.10,3.34,2.13,23.70,10.27,3.61,1.84
08-Oct-2025,Wednesday,1384.20,1389.70,1364.90,1367.35,596.05,,,,,16421.00,81.88,1850362.65,39.39,22.27,81773.66,3.31,2.11,23.53,10.20,3.58,1.82
07-Oct-2025,Tuesday,1376.10,1395.75,1375.95,1384.95,865.64,,,,,20065.00,119.92,1874179.80,39.90,22.55,81926.75,3.36,2.14,23.81,10.31,3.63,1.84
06-Oct-2025,Monday,1362.20,1377.20,1358.60,1375.10,674.89,,,,,43236.00,92.35,1860850.31,39.62,22.39,81790.12,3.33,2.12,23.66,10.25,3.60,1.83
03-Oct-2025,Friday,1363.00,1371.00,1357.20,1363.45,869.28,,,,,19345.00,118.45,1845084.98,39.28,22.20,81207.17,3.30,2.10,23.47,10.17,3.57,1.82
01-Oct-2025,Wednesday,1364.25,1378.20,1363.05,1368.80,1254.86,,,,,20018.00,171.94,1852324.85,39.44,22.29,80983.31,3.32,2.11,23.55,10.20,3.59,1.82
30-Sep-2025,Tuesday,1374.65,1376.05,1362.90,1363.80,1226.89,,,,,14778.00,167.70,1845558.62,39.29,22.21,80267.62,3.30,2.10,23.47,10.17,3.57,1.82
29-Sep-2025,Monday,1380.10,1388.40,1368.25,1374.00,477.77,,,,,13576.00,65.91,1859361.74,40.82,22.81,80364.94,3.31,2.13,23.81,10.57,3.58,1.87
26-Sep-2025,Friday,1372.40,1382.40,1365.55,1377.75,792.11,,,,,16820.00,109.00,1864436.42,40.93,22.88,80426.46,3.32,2.14,23.87,10.60,3.59,1.88
